cluster,latitude,longitude,cluster_wealth_mean
162,-1.927856,29.604681,-0.475682083
163,-1.777182,30.044029,-0.17017
164,-2.752702,29.495145,-0.374950769
165,-1.992365,30.31009,-0.037780769
166,-1.949591,30.440808,1.90327
167,-2.387603,29.067239,-0.0009832
168,-1.937687,30.047714,2.455832692
169,-1.697388,29.637663,-0.247376538
170,-2.260028,30.199794,-0.202995769
171,-2.485561,28.926768,0.006411923
172,-1.100359,30.389542,-0.179326
173,-1.95637,30.104393,2.3807276
174,-2.416729,29.532057,-0.461457692
175,-1.918798,30.449934,0.2448596
176,-1.637594,29.633267,-0.4311908
177,-1.782677,30.080122,0.061861538
178,-2.116101,30.450414,-0.414441154
179,-2.206809,29.819907,-0.485001923
180,-1.756319,29.582376,-0.331806923
181,-2.607346,29.229031,-0.366405
182,-2.434632,29.787211,-0.340233462
183,-1.439182,29.710516,-0.282436154
184,-2.099755,30.481972,-0.3197872
185,-1.956045,30.287383,-0.184849231
186,-2.587721,29.768941,-0.301804231
187,-1.43971,30.322471,0.220937308
188,-1.975029,29.927419,-0.149714615
189,-2.338016,29.123901,0.409794
190,-2.523384,29.022046,-0.051088
191,-1.72052,29.646694,-0.322756538
192,-2.214713,30.727983,-0.264750769
193,-1.970528,30.056039,2.5473928
194,-1.85497,30.558896,-0.287139231
195,-1.954061,30.077749,2.097186087
196,-1.977357,30.058601,2.795321538
197,-2.635716,29.715013,0.279555769
198,-2.327561,29.047354,-0.3978708
199,-1.963233,29.331311,-0.413204
200,-2.042049,29.812083,-0.216786923
201,-1.441507,30.422287,-0.278749615
202,-1.836542,30.095517,-0.2237564
203,-2.32237,30.509814,-0.368811538
204,-2.525109,28.921811,-0.298775769
205,-1.358829,29.813962,-0.261456
206,-1.955189,30.011056,0.8504112
207,-2.371748,29.585916,-0.386898846
208,-1.67449,29.559536,-0.3713456
209,-2.16145,29.254779,-0.41527875
210,-2.213988,30.59361,-0.309730385
211,-2.188292,29.774608,-0.770983846
212,-1.932437,30.485088,-0.4592956
213,-2.360084,29.751587,1.0763172
214,-1.99905,30.545979,0.8206075
215,-2.238794,29.370061,-0.382027692
216,-1.676138,29.872053,-0.37127125
217,-1.436562,30.01549,-0.1807092
218,-2.224453,30.731484,-0.154264615
219,-2.733294,29.569965,-0.5340584
220,-2.545912,29.608434,-0.4462044
221,-2.760754,29.849705,-0.536581538
222,-1.297459,30.242161,-0.198988
223,-2.083065,29.756049,1.21657
224,-2.226654,30.421977,-0.271429615
225,-2.149959,30.850353,-0.447036923
226,-2.287563,30.117009,-0.222073846
227,-1.526805,29.577855,-0.218766154
228,-2.183866,30.180127,-0.140016923
229,-2.661043,29.795864,-0.587185769
230,-2.057712,29.909006,-0.3007488
231,-1.975464,30.088097,1.897142308
232,-2.276934,30.036967,-0.26615
233,-1.606749,30.427247,-0.12096
234,-2.789598,29.744879,-0.604764231
235,-1.949707,30.111272,3.125365417
236,-1.869571,29.710591,-0.2178172
237,-2.262296,29.877543,-0.338762
238,-2.235567,30.535659,-0.136667308
239,-1.728849,29.754761,-0.351501923
240,-1.676442,30.137929,-0.339492
241,-2.658062,28.910435,-0.091500385
242,-2.758512,29.662263,-0.51927
243,-1.826784,29.723557,-0.304265
244,-1.974003,30.041225,2.2911604
245,-2.1252,29.467963,-0.318836538
246,-2.08,29.690313,-0.320515769
247,-1.396914,30.1187,-0.337517692
248,-2.64997,29.888781,-0.5800904
249,-2.596514,28.971476,-0.4652776
250,-1.735861,30.00618,-0.41987
251,-1.894967,30.051481,-0.021257692
252,-1.993029,29.976325,0.138366667
253,-1.487486,29.629335,0.286577692
254,-1.792265,30.482348,0.259726
255,-1.553064,29.788937,-0.418348462
256,-2.09954,30.622315,-0.18299
257,-1.638167,30.448602,-0.084063077
258,-2.480914,28.913307,2.313022692
259,-1.868541,30.586832,-0.220633846
260,-1.574011,30.018136,-0.738692308
261,-2.455755,29.429881,-0.587997083
262,-2.180477,29.423007,-0.2107328
263,-2.250716,30.811263,-0.2336644
264,-1.936839,30.035471,2.220472083
265,-1.972804,29.644635,-0.473055
266,-2.444893,29.584107,-0.5026172
267,-2.21051,29.83616,-0.228436154
268,-2.036767,29.975852,-0.3897248
269,-2.497832,29.743853,-0.3880784
270,-2.578438,29.772664,-0.1901516
271,-2.107306,29.974036,-0.1553
272,-2.414607,28.954867,-0.549922692
273,-2.11641,29.534499,-0.224390769
274,-1.542048,30.148021,-0.532735
275,-2.278544,29.619121,-0.2899096
276,-2.006624,30.179611,0.225998
277,-2.489807,29.62554,-0.439601154
278,-2.523954,29.789264,-0.488758077
279,-1.850256,29.364529,-0.301535417
280,-2.357578,29.034794,-0.327141154
281,-2.387753,29.141641,-0.177602308
282,-1.407466,29.717139,-0.400065769
283,-2.066574,30.510362,0.027306667
284,-2.075995,29.439541,-0.262038462
285,-1.920057,29.453208,-0.4382184
286,-2.316523,30.576136,-0.3270096
287,-1.967409,29.404675,-0.28432375
288,-1.569436,29.702884,-0.42137875
289,-1.825845,30.143684,-0.244410385
290,-1.879629,30.342756,-0.240585
291,-2.438728,28.903892,-0.365533846
292,-2.217614,29.610967,-0.2862696
293,-1.525719,29.831876,1.1511092
294,-1.895365,30.485651,0.099734
295,-2.323776,29.185491,-0.436736923
296,-2.291395,29.163522,-0.543459615
297,-1.995232,30.200461,0.997660833
298,-2.179344,30.620858,-0.141774615
299,-1.993737,30.511028,-0.27839
300,-1.319535,30.218336,-0.282976
301,-1.81395,29.84271,-0.149326
302,-1.72681,29.303076,0.375079615
303,-1.951477,30.05303,2.298316538
304,-1.756264,29.970729,-0.416797308
305,-2.038559,30.365968,-0.219183846
306,-1.817948,29.590006,-0.478096923
307,-1.740335,29.665067,-0.4251132
308,-1.91576,30.103002,0.405262308
309,-2.350317,29.680842,-0.884894583
310,-1.927927,30.175814,0.096598846
311,-2.330726,29.916747,-0.321183333
312,-1.71183,30.367698,-0.33538
313,-1.869094,29.804758,-0.0119692
314,-1.611658,29.517243,-0.4649636
315,-2.51733,29.758085,-0.300543846
316,-2.279316,29.478823,-0.5553964
317,-2.684591,29.850538,-0.307649231
318,-2.69135,29.527073,-0.599987692
319,-1.999938,29.886086,-0.3455024
320,-2.4814,29.779928,-0.51801
321,-1.898147,30.04978,0.708473077
322,-1.647931,29.487905,-0.468342692
323,-2.543066,29.454717,-0.416143462
324,-2.404493,28.941822,-0.398806
325,-1.547196,30.046899,-0.249236538
326,-1.523984,29.698213,-0.362059231
327,-2.230972,30.83127,-0.251919615
328,-2.376306,30.592224,-0.1005288
329,-1.920349,30.074494,2.6700172
330,-1.477276,30.260112,-0.2673268
331,-2.159511,29.641706,-0.2769904
332,-1.822141,29.636262,-0.368518846
333,-1.631954,29.806688,-0.4950472
334,-2.035534,29.419156,-0.522372917
335,-1.37575,29.866844,-0.3503608
336,-2.350536,29.777254,0.4533792
337,-2.634768,29.710052,-0.243586923
